Scrap_time,Product_Name,Price,Rating,Reviews
2024-11-18 22:51:06.608310,+3 MoreModern Dream Catchers,397,4.2,0
2024-11-18 22:51:06.608310,+3 MoreClassic Dream Catchers,374,4.2,0
2024-11-18 22:51:06.608310,+3 MoreClassic Dream Catchers,329,4.0,7 
2024-11-18 22:51:06.608310,+3 MoreDesigner Dream Catchers,364,3.6,5 
2024-11-18 22:51:06.608310,+3 MoreClassic decor,433,0,0
2024-11-18 22:51:06.608310,+3 MoreLatest decor,460,0,0
2024-11-18 22:51:06.608310,home lights,371,3.9,0
2024-11-18 22:51:06.608310,Home Decor,395,3.8,0
2024-11-18 22:51:06.608310,Everyday decorative stone,391,3.8,0
2024-11-18 22:51:06.608310,+3 MoreFabulous Dream Catchers,329,4.0,5 
2024-11-18 22:51:06.608310,+3 MoreLatest decor,913,0,0
2024-11-18 22:51:06.608310,Fancy Home Decor,611,3.8,0
2024-11-18 22:51:06.608310,home decor,445,3.8,0
2024-11-18 22:51:06.608310,Fancy home decor,387,3.8,0
